"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","113","","test.CreateOrderTest","","test.CreateOrderTest","","orderIsCreated[0]",""
"passed","","","140","","test.CreateOrderTest","","test.CreateOrderTest","","orderIsCreated[2]",""
"passed","","","484","","test.CourierLoginNegativeTests","","test.CourierLoginNegativeTests","","loginWithoutLogin",""
"passed","","","367","","test.CourierCreatePositiveTest","","test.CourierCreatePositiveTest","","courierCanBeCreated",""
"passed","","","536","","test.CourierLoginNegativeTests","","test.CourierLoginNegativeTests","","loginWithWrongPassword",""
"passed","","","1725","","test.CourierCreateNegativeTests","","test.CourierCreateNegativeTests","","loginIsRequired",""
"passed","","","520","","test.CourierCreateNegativeTests","","test.CourierCreateNegativeTests","","sameCourierCannotBeCreated",""
"passed","","","130","","test.CreateOrderTest","","test.CreateOrderTest","","orderIsCreated[3]",""
"passed","","","519","","test.CourierLoginNegativeTests","","test.CourierLoginNegativeTests","","loginWithWrongLogin",""
"passed","","","89","","test.CreateOrderTest","","test.CreateOrderTest","","orderIsCreated[1]",""
"passed","","","6520","","test.CourierLoginNegativeTests","","test.CourierLoginNegativeTests","","loginWithoutPassword",""
"passed","","","495","","test.CourierLoginPositiveTest","","test.CourierLoginPositiveTest","","courierCanLogin",""
"passed","","","7074","","test.GetOrderTest","","test.GetOrderTest","","getOrderTest",""
"passed","","","103","","test.CourierCreateNegativeTests","","test.CourierCreateNegativeTests","","passwordIsRequired",""
